bookname,author,genre
The Da Vinci Code,Dan Brown,Thriller
Harry Potter and the Deathly Hallows,J.K. Rowling,Fiction
Harry Potter and the Philosopher's stone,J.K. Rowling,Fiction
Harry Potter and the Order of the Pheonix,J.K. Rowling,Fiction
Harry Potter and the Chamber of Secrets,J.K. Rowling,Fiction
Harry Potter and the Goblet of Fire,J.K. Rowling,Fiction
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fiction
Fifty Shades of Grey,E.L. James,Romance
Angels and Demons,Dan Brown,Thriller
Fifty Shades Darker,E.L. James,Romance
Twilight,Stephenie Meyer,Fiction
Girl with the Dragon Tatoo,Stieg Larson,Thriller
Fifty Shades Freed,E.L. James, Romance
The Lost Symbol, Dan Brown, Thriller
The Very Hungry Caterpillar,Eric Carle,Picture
